Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
WN,2218,ALB,MCO,6,525,195,0
US,2171,LGA,DCA,1,660,76,1
OO,6492,LIT,DEN,4,963,145,0
WN,2970,TPA,FLL,4,625,60,1
DL,2173,ATL,MIA,2,660,120,1
DL,1040,ATL,MSY,5,745,95,0
OH,6417,DAY,MSP,2,390,144,0
OH,6444,AVL,DTW,3,750,110,1
DL,2731,DTW,STL,5,445,118,0
FL,1187,MLI,MCO,6,612,155,1
9E,3761,ITH,DTW,7,1000,94,1
XE,2345,EWR,STL,1,545,189,1
WN,1307,MDW,BNA,3,985,85,1
YV,2934,PHX,MEM,2,585,184,0
OO,6438,GJT,DEN,7,379,60,0
MQ,4021,ORD,CMI,3,720,50,0
WN,1,HOU,CRP,4,500,50,1
AA,1875,DFW,PHX,7,1150,160,0
US,1125,CLT,IAH,1,570,168,1
DL,1883,SLC,LAS,7,920,85,1
MQ,2765,DFW,DSM,3,465,110,1
AS,585,SNA,PDX,3,1135,150,0
AA,438,TPA,MIA,5,1190,65,1
OO,4700,SLC,DEN,2,663,87,0
WN,498,DEN,MSP,7,560,125,1
US,1717,PHL,PBI,7,1075,168,0
DL,2224,AUS,ATL,6,340,134,0
UA,368,MSY,IAD,3,475,149,0
US,4,ORD,PHX,4,430,244,0
B6,120,MSY,JFK,3,1089,169,1
US,1947,DCA,FLL,7,1160,155,1
FL,171,ATL,RSW,5,1335,98,0
FL,1742,PIT,MCO,5,744,131,1
MQ,2965,LRD,DFW,5,460,85,0
EV,5204,SGF,ATL,1,603,107,0
AA,455,ORD,LAX,7,905,265,1
MQ,4364,ORD,CVG,3,1255,75,1
OO,3071,MKE,OMA,4,540,84,1
XE,2416,EWR,SAV,3,540,164,0
9E,4162,FWA,DTW,7,915,65,1
DL,9,ATL,TPA,1,1230,92,1
B6,423,BOS,PBI,2,400,195,0
CO,1706,AUS,IAH,1,952,68,1
AA,415,MSP,ORD,7,560,85,0
WN,3579,DAL,MCI,4,580,85,1
OO,6844,ORD,DTW,5,964,76,0
OO,6717,SFO,SBA,5,1065,81,0
OO,6819,DEN,HLN,1,1306,114,1
XE,5909,ORD,GSP,5,873,101,1
DL,2702,MCO,CVG,2,735,135,0
DL,1329,DTW,MIA,5,840,180,0
WN,1006,BOI,DEN,3,420,110,1
OO,4667,OMA,SLC,7,380,155,1
DL,2543,ATL,SRQ,1,1015,94,1
CO,1859,DCA,IAH,3,920,215,1
DL,734,ATL,RDU,1,596,98,0
UA,185,PHL,SFO,3,377,389,0
F9,452,MKE,LGA,2,1199,135,1
AA,1188,DFW,DCA,7,1050,160,0
XE,3021,EWR,DCA,1,1020,72,1
DL,2405,PHL,DTW,1,350,118,0
MQ,4126,ORD,TRI,4,1225,115,1
US,997,CLT,CHS,4,868,54,0
WN,1657,DAL,MCI,3,625,85,0
HA,374,LIH,HNL,6,913,32,1
DL,1096,ATL,STL,2,1312,111,0
OH,6692,JFK,ROC,3,800,95,0
WN,738,BWI,TPA,3,660,150,1
WN,2165,LAS,MCI,5,1020,165,1
WN,520,RSW,MCO,4,670,50,0
DL,1746,PHX,ATL,4,840,220,0
OH,6724,CVG,DTW,6,460,86,1
DL,269,JFK,MIA,6,480,200,0
OO,6291,BFL,LAX,7,538,55,1
OO,6283,IYK,LAX,4,1251,53,1
AA,1946,MIA,TPA,2,790,60,1
XE,2024,IAH,BTR,1,1285,59,0
OO,6542,SFO,FAT,4,770,57,0
US,951,DCA,MCO,7,719,139,0
WN,569,LAS,TPA,1,595,250,1
MQ,2822,DFW,TLH,7,810,120,1
AA,417,BNA,DFW,7,1170,125,1
US,800,MCO,CLT,5,1150,98,0
AA,696,DFW,MIA,5,1015,165,0
AA,2010,DEN,DFW,3,930,115,0
US,800,MCO,CLT,4,1150,96,0
EV,5278,ATL,BHM,3,870,52,0
9E,4377,ALB,ATL,4,1060,172,0
US,61,BOS,CLT,5,570,148,0
US,138,PHX,ANC,6,1080,360,0
US,1249,CLT,JAX,3,475,79,0
DL,676,STT,JFK,6,891,286,0
OO,6720,LIT,ORD,4,426,115,0
XE,2335,MCI,IAH,7,835,125,1
US,1215,DTW,CLT,5,715,105,1
YV,2723,BFL,PHX,2,969,91,0
DL,2625,BOS,MSP,1,495,205,0
MQ,3284,DFW,BTR,1,1335,75,0
US,1468,TPA,DCA,7,805,124,0
DL,69,ATL,MIA,5,1045,115,1
DL,2336,MSP,MKE,5,1180,75,0
MQ,4275,MSN,ORD,6,360,55,1
WN,935,RDU,PHL,6,590,75,1
US,1732,CLT,DCA,1,450,73,1
WN,406,LAS,PHX,1,525,70,1
AA,1978,MFE,DFW,7,951,95,0
HA,10,HNL,LAX,4,480,325,1
US,1126,CLT,DFW,6,885,178,1
DL,2774,MSP,MEM,4,795,125,0
XE,2016,EWR,ORF,5,695,75,1
EV,7082,CAE,ORD,3,607,128,0
9E,3749,BOS,RDU,3,1135,145,1
OO,6834,RNO,SFO,5,1046,69,0
OH,6267,CVG,MEM,1,750,100,1
OO,6727,MTJ,DEN,6,386,63,0
WN,1017,CLE,MDW,4,360,85,0
AA,1044,MIA,RDU,6,635,120,1
XE,3045,EWR,IND,2,917,136,1
B6,378,FLL,LGA,6,1091,169,1
FL,961,MCO,CAK,3,841,137,0
DL,1167,ATL,SNA,5,980,300,0
US,1416,LAX,PHL,3,835,298,1
DL,1024,ATL,CLT,1,585,85,0
WN,1502,SLC,LAS,4,1220,80,1
WN,3424,BOI,GEG,3,815,65,1
US,1897,CLT,ATL,2,1340,67,0
9E,4176,CVG,SDF,3,680,55,0
WN,218,HOU,BHM,5,1205,90,1
AA,1259,AUS,DFW,1,630,70,1
OO,6365,DEN,ICT,4,617,80,1
FL,703,ATL,DAY,6,1010,82,1
WN,1134,BWI,IND,4,540,105,0
OO,6703,ORD,MEM,1,1275,95,1
WN,523,LAS,ABQ,4,1025,85,1
DL,2028,MCO,DTW,5,960,160,1
MQ,4355,OKC,ORD,7,400,135,0
AS,43,ANC,BET,2,742,77,0
US,798,MCO,PHL,3,1020,148,1
FL,435,SEA,MKE,7,551,225,0
OH,6693,DTW,SDF,1,925,93,0
OO,4500,SAN,LAX,6,885,44,0
EV,5226,ECP,MEM,4,685,93,0
OO,7008,DEN,TUL,2,998,89,1
FL,286,HOU,ATL,3,733,112,0
OO,6959,COS,ORD,6,352,146,0
US,433,LAS,PHL,7,420,280,0
OO,6322,SAN,LAX,6,580,45,1
US,11,ORD,CLT,1,570,108,0
AA,1856,MIA,IAD,1,665,145,0
DL,2537,BOS,MCO,1,880,204,0
MQ,3295,DFW,CAE,1,845,135,1
DL,2051,MSP,LAS,4,870,208,0
OO,4449,SLC,ABQ,6,1005,100,1
FL,78,FLL,ATL,6,1085,122,0
DL,2232,ORD,MSP,1,455,97,1
XE,2362,RIC,CLE,2,1110,82,1
OO,4823,SLC,FAT,3,751,95,1
9E,4167,ATL,MEM,3,645,91,1
OO,6383,SFO,SBA,4,1065,82,0
OH,6750,MSY,MSP,4,1070,170,0
WN,660,DEN,MCO,1,1020,210,1
OH,6384,CVG,LGA,5,670,119,1
XE,3127,IAH,LBB,7,1105,103,0
OH,6606,DTW,AZO,4,1165,59,0
CO,1704,IAH,OKC,1,1265,81,0
DL,2053,OMA,ATL,5,412,153,0
WN,414,LAS,SMF,1,1065,90,1
WN,2397,MCO,MDW,2,425,175,0
XE,2983,DCA,CLE,3,1110,75,0
9E,3868,LEX,DTW,6,384,96,0
YV,2837,PHX,BUR,5,920,86,0
MQ,4052,CMI,ORD,5,795,65,1
9E,4001,MEM,DAL,1,565,96,1
OO,6265,DEN,SLC,7,1051,88,1
US,2,ORD,PHX,5,300,228,0
B6,235,SLC,LGB,6,825,109,0
MQ,4374,ORD,CMI,6,1085,50,1
UA,727,IAD,TPA,7,1325,145,1
UA,935,LAX,HNL,2,980,359,1
AA,1344,SAT,DFW,5,705,70,1
CO,693,MCO,EWR,3,645,149,1
MQ,3005,LAX,SAN,4,1350,45,0
XE,2755,IAH,ELP,2,900,118,0
OO,3094,MKE,OMA,6,852,80,0
XE,2308,IAH,BRO,5,919,69,0
WN,2920,DEN,IND,6,1050,145,1
9E,4021,MDW,DTW,1,975,90,1
DL,2783,BDL,ATL,7,628,157,0
XE,5976,ORD,BNA,2,1144,86,1
EV,5480,ATL,LYH,4,1237,81,1
CO,1729,TUS,IAH,5,495,142,0
AA,1372,MIA,RDU,2,1015,125,1
CO,379,IAH,SAT,4,769,61,0
EV,7096,DAY,IAD,4,1165,80,0
DL,2014,LAX,CVG,3,440,247,0
AA,2450,LAX,DFW,5,915,175,0
B6,129,BUF,JFK,3,705,75,1
AA,436,DFW,FLL,5,1015,155,1
CO,244,IAH,CLE,3,975,162,1
DL,1496,DEN,MSP,5,550,121,0
OO,6416,ACV,SFO,7,753,78,1
WN,2772,SAT,BNA,6,645,125,0
FL,94,RDU,ATL,1,918,86,1
WN,1420,ONT,SJC,3,1215,65,1
OO,4562,SMF,SLC,3,985,96,1
XE,2579,CAE,IAH,5,375,171,0
MQ,4202,ORD,ABE,4,1205,105,0
DL,1696,ATL,BDL,7,577,150,0
WN,870,MCO,MCI,2,1060,185,1
FL,684,ICT,ATL,3,378,132,0
XE,2620,ICT,IAH,2,666,104,1
DL,2225,BWI,ATL,6,825,124,1
OH,6651,BNA,LGA,2,1067,133,1
AA,1399,DEN,ORD,5,395,155,0
WN,3484,SEA,SMF,7,1145,105,1
MQ,3351,DFW,LBB,5,870,70,1
AA,2058,DFW,SJU,4,795,265,0
OO,4668,SLC,DEN,3,405,85,1
OO,6754,DTW,DEN,3,984,200,0
OO,6249,LAX,FAT,1,1123,74,0
OO,6288,LAX,MRY,4,659,68,0
CO,1088,IAH,DTW,1,785,164,0
UA,950,LAX,IAD,5,461,285,0
WN,429,LAX,DEN,7,765,135,1
WN,518,MCI,BWI,3,1045,140,1
AA,560,ORD,DCA,5,1250,105,0
OO,6509,TUS,LAX,3,486,95,0
EV,5343,ATL,OKC,5,535,143,0
UA,545,BOS,ORD,4,1147,169,1
UA,104,SFO,IAH,4,631,236,0
DL,1720,MIA,CVG,5,765,158,0
DL,1639,ATL,SRQ,5,1017,91,0
UA,345,ORD,MSY,4,582,146,1
CO,266,SEA,IAH,6,435,245,1
HA,196,HNL,OGG,7,1135,37,0
UA,543,BOS,ORD,5,1047,172,1
UA,271,DEN,ONT,3,1300,142,0
OO,6639,DEN,BZN,2,864,109,0
YV,7305,ORD,PHL,4,967,123,0
FL,428,ATL,PNS,6,620,74,1
AA,2462,LAX,DFW,6,1090,170,1
B6,588,FLL,HPN,5,1100,171,1
B6,1009,BOS,JFK,3,885,80,1
YV,2692,CLT,ORF,1,559,67,0
FL,309,ATL,DEN,7,1340,215,1
US,438,LAS,PHL,1,542,279,1
EV,7115,JFK,IAD,4,867,92,0
EV,5258,ICT,ATL,1,1050,125,1
AA,1678,DFW,BWI,1,500,170,0
B6,145,JFK,PBI,1,360,169,0
AA,1216,DFW,TPA,5,620,140,0
9E,4084,DTW,ITH,3,1315,87,0
WN,589,LAS,SLC,3,1295,75,0
DL,1547,LGA,ATL,6,420,164,0
FL,368,ATL,LGA,1,620,134,1
AA,1534,DFW,DTW,6,745,155,1
WN,111,LAS,PVD,4,830,300,1
HA,248,HNL,KOA,2,1066,43,0
EV,5393,MGM,ATL,3,330,57,0
XE,2984,IAH,DAL,4,1200,64,1
YV,2816,FAT,PHX,6,390,96,0
XE,2868,STL,EWR,3,1020,145,1
MQ,4123,ORD,CMI,1,1255,55,1
DL,2977,ORD,ATL,6,615,123,1
OH,6609,JFK,RIC,4,670,107,0
OO,4884,SLC,IDA,3,823,57,0
DL,1922,DTW,BOS,1,590,112,1
WN,945,PHX,SNA,2,1005,75,0
OO,6374,PSP,SFO,6,366,91,0
AA,1981,ATL,DFW,1,705,150,0
WN,1136,LAX,SFO,4,455,80,1
WN,283,DEN,SNA,1,1245,150,1
MQ,3311,DFW,SPS,4,495,50,1
WN,151,SAN,PHX,1,925,70,0
AA,407,ORD,STL,6,405,65,0
CO,460,EWR,SAT,6,1215,262,0
MQ,3303,DFW,MLI,2,1115,115,0
FL,318,ATL,CLT,6,1340,70,0
OO,4482,MSP,MKE,2,905,69,0
WN,1949,FLL,TPA,4,395,60,0
AA,1499,DFW,SJC,3,885,230,1
XE,2075,ABQ,IAH,6,778,122,1
YV,2724,AUS,CLT,3,710,151,0
DL,2412,MEM,MIA,5,565,143,1
WN,795,TPA,MCI,5,840,175,0
CO,390,SLC,IAH,3,756,180,1
WN,119,MKE,BWI,7,775,120,0
YV,2829,LGB,PHX,4,990,82,0
CO,697,IAH,LAS,6,885,202,0
EV,5135,LEX,ATL,5,755,89,1
B6,339,IAD,MCO,2,660,135,0
AA,2036,COS,DFW,4,790,110,1
9E,3827,PVD,DTW,4,1095,143,0
UA,4,OGG,ORD,7,1034,476,1
AA,1314,MSY,MIA,6,1085,110,1
EV,5035,ATL,MOB,4,1050,80,0
DL,2133,MSP,ATL,6,930,157,0
XE,2180,CLE,CLT,4,1140,93,1
OO,7039,DEN,HLN,2,683,116,0
AS,317,SFO,SEA,1,1185,126,0
DL,2221,MSP,LAX,5,1310,238,1
MQ,3933,ICT,ORD,6,1025,120,0
WN,1071,SNA,SJC,5,925,75,1
OO,6536,LAX,PSP,5,508,52,1
OO,6974,RAP,DEN,3,480,76,0
AS,190,FAI,ANC,6,1050,64,0
AA,763,DFW,MFE,5,1240,90,0
MQ,4250,AVP,ORD,3,410,135,1
WN,1751,HOU,STL,1,390,115,1
OO,6937,PSC,DEN,5,714,131,1
US,1728,MCO,CLT,2,835,96,0
EV,5532,ATL,LIT,4,465,101,0
WN,380,MDW,JAN,4,950,125,1
AS,99,SEA,ANC,7,780,221,1
EV,5514,ATL,MEI,2,821,72,0
OO,6260,DEN,COS,4,1145,33,1
AA,1630,DFW,LAS,3,735,180,1
CO,1587,MCO,IAH,6,1282,149,0
DL,2403,DTW,FLL,1,625,190,1
XE,2268,IAH,PBI,1,640,149,1
OO,7774,SLC,SGU,6,920,81,0
WN,198,HOU,TPA,2,635,115,0
DL,2040,SFO,JFK,1,930,329,1
UA,41,SFO,LIH,6,554,357,0
AA,860,MIA,JFK,1,1045,185,0
B6,467,BOS,RSW,1,685,213,0
CO,1850,IAH,RDU,4,775,153,1
AA,1875,DFW,PHX,3,1150,160,1
DL,2145,PVD,ATL,4,420,179,0
EV,5504,ATL,CAK,6,831,99,1
OO,4841,SLC,ABQ,3,1195,103,1
EV,7138,MHT,IAD,2,1145,110,1
MQ,4351,ORD,LSE,5,1170,70,0
AA,1426,DFW,SAT,1,925,70,1
OO,4704,SLC,DEN,3,1017,83,1
XE,3082,SDF,CLE,2,1034,70,0
UA,796,IAD,LAS,4,497,319,1
OO,6539,AVL,ORD,1,363,109,1
XE,2201,CLE,RIC,1,1145,75,0
CO,432,IAH,LGA,2,657,199,0
WN,964,MCO,PHX,4,755,300,1
B6,120,MSY,JFK,6,1089,169,0
EV,5363,ATL,ECP,4,1290,64,1
FL,90,RDU,ATL,1,1199,87,1
CO,1093,CMH,IAH,5,370,184,0
AA,1693,MCO,DFW,3,1040,175,1
WN,2125,DAL,BHM,6,515,90,1
WN,218,MAF,HOU,3,1090,80,1
UA,581,PHX,DEN,2,360,112,0
WN,3498,STL,BWI,1,1190,115,1
DL,1782,ELP,ATL,1,365,176,0
CO,58,DEN,IAH,1,695,140,1
CO,1436,IAH,ABQ,5,1278,144,1
MQ,3009,LAX,MRY,7,935,65,1
EV,5129,BOS,DCA,6,455,108,0
US,1812,PHL,BOS,5,375,74,0
OO,6390,GEG,SFO,3,345,136,1
UA,102,ORD,PVD,7,1196,133,0
YV,2634,CLT,ORF,7,453,65,0
WN,249,SAT,BWI,3,430,190,0
UA,468,SFO,SAN,4,540,96,0
DL,2059,ATL,SAT,2,1308,166,1
WN,113,BNA,CMH,6,665,70,1
CO,393,MCO,EWR,2,480,155,0
WN,3763,DEN,BWI,2,725,200,1
AA,591,ORD,MCI,7,775,90,0
WN,518,DEN,MCI,1,870,90,1
EV,5614,ATL,MDT,7,1247,104,0
9E,3682,DTW,LAN,7,1035,46,0
YV,2614,AUS,CLT,3,1019,154,0
AA,879,DFW,ABQ,6,545,110,1
DL,2213,RSW,ATL,6,1050,116,1
XE,2758,ELP,IAH,7,1002,107,0
DL,1722,DTW,BOS,5,945,122,0
WN,1291,FLL,MCO,6,890,65,0
WN,2037,MDW,DTW,6,810,75,1
DL,2685,LGA,MCO,7,415,170,1
WN,1316,SEA,SJC,4,515,125,1
OH,6426,OMA,LGA,4,425,174,0
CO,1690,IAH,MIA,4,635,151,1
CO,1527,BWI,IAH,1,890,212,0
YV,7298,BDL,IAD,4,875,88,0
WN,1599,STL,BHM,2,910,75,1
WN,882,JAX,FLL,1,1060,70,0
AA,1124,MIA,LGA,2,585,165,1
US,621,PHX,OAK,3,650,123,1
FL,783,PHF,LGA,3,475,80,0
DL,1668,ATL,CHS,5,1145,78,1
XE,2489,IAH,IND,6,720,126,0
XE,2927,DCA,CLE,5,385,72,0
AA,1123,DFW,PHX,2,435,165,0
XE,5996,CAK,ORD,7,360,95,0
UA,723,DFW,DEN,6,933,127,0
AA,1871,PBI,DFW,2,475,190,0
AA,1492,SFO,DFW,2,730,210,1
F9,572,SLC,DEN,5,470,82,0
WN,1094,PVD,FLL,4,400,205,1
DL,1796,DTW,IND,3,615,80,1
9E,4321,GPT,MEM,4,985,81,0
WN,664,LAX,MCI,1,415,190,0
DL,1872,TPA,ATL,3,380,90,0
EV,5214,CLE,ATL,2,726,119,0
WN,1014,SAN,TUS,5,1120,70,0
AA,1026,DFW,MCI,6,425,95,0
WN,1237,MDW,CLE,1,420,75,1
OO,6302,LAX,PSP,3,868,51,1
OO,6857,GJT,DEN,2,438,58,0
OO,6531,LAX,SBP,5,1161,54,0
CO,1679,IAH,SAT,6,505,52,0
WN,3312,MCI,MKE,1,575,85,1
MQ,3947,ORD,TYS,7,750,90,1
UA,672,ORD,LGA,2,480,132,0
WN,59,SEA,DEN,3,770,155,1
AA,1034,DEN,DFW,6,640,120,1
EV,5516,MEM,VPS,3,565,95,0
AA,739,LGA,DFW,2,670,245,0
WN,684,PVD,PHX,3,770,365,1
MQ,3339,DFW,AEX,2,920,65,0
US,1411,CLT,PBI,6,710,121,0
B6,1187,BOS,SRQ,6,700,201,1
EV,5339,ATL,BTR,3,555,100,0
AA,1225,COS,DFW,1,360,120,0
DL,2895,MCO,JFK,2,945,162,0
EV,5157,XNA,ATL,6,603,107,0
9E,4002,MSP,DAY,6,550,116,1
WN,3132,DAL,AMA,5,540,70,1
WN,259,BWI,DTW,3,990,100,1
WN,570,SFO,SAN,2,1260,85,1
UA,977,IAD,DEN,1,511,244,1
DL,240,MIA,ATL,5,767,117,1
OO,6851,DEN,CPR,3,941,56,0
WN,2811,DEN,AMA,3,680,70,1
FL,526,TPA,BWI,1,450,130,0
AA,1283,MIA,ORD,1,1160,195,1
B6,78,MCO,JFK,3,1130,154,0
OH,6323,MCI,LGA,1,625,180,0
FL,122,TPA,ATL,7,910,95,0
OO,6860,DEN,ABQ,3,500,74,0
DL,1805,DTW,MCO,4,1055,163,0
MQ,4514,DCA,BNA,4,895,120,0
WN,921,BWI,RSW,3,1145,165,0
AA,2004,ORD,MIA,2,940,185,1
MQ,4319,ORD,HSV,4,640,100,0
EV,5275,ATL,JAN,4,494,84,0
US,486,RNO,PHX,5,365,107,0
9E,3950,MSP,ATW,3,1185,64,1
DL,2552,TPA,LGA,5,1139,163,0
DL,2007,CLT,MSP,1,500,180,1
AA,1167,RDU,DFW,6,465,195,0
WN,2207,DAL,ELP,6,1040,110,1
DL,1590,ATL,JAX,7,810,69,1
FL,840,MCO,ATL,4,614,92,0
YV,2901,CLT,MEM,1,780,114,1
AA,2229,MIA,DFW,6,500,200,0
DL,1,LAS,JFK,3,650,310,1
9E,3890,DTW,ITH,5,625,86,0
AA,676,DFW,CLT,1,1095,140,0
AA,1505,DFW,SAN,2,1035,190,0
CO,769,LAS,EWR,1,480,287,1
DL,423,ATL,SJU,7,650,211,1
WN,1511,DEN,PHX,4,955,115,1
WN,952,LAS,MDW,4,1155,205,1
9E,4197,DTW,DSM,5,740,115,0
OH,6306,DTW,DSM,3,935,117,0
9E,4167,BDL,CVG,4,780,147,1
WN,2166,OAK,RNO,5,545,50,0
YV,7254,SAV,ORD,2,680,145,0
OO,6415,LAS,LAX,1,1223,72,0
AS,61,YAK,CDV,1,721,52,0
OO,6268,TUS,SFO,4,702,138,1
OO,6390,SFO,SLC,6,631,119,1
MQ,2865,DFW,MHK,4,890,85,0
EV,5063,ATL,OMA,2,951,150,1
XE,2321,CVG,IAH,7,670,157,0
OH,6268,CRW,DTW,4,926,79,0
OH,6330,ATL,TRI,4,596,76,0
UA,552,IAD,BOS,3,1135,102,0
AA,819,OMA,DFW,4,935,115,0
OO,4640,MSP,RAP,3,875,96,1
B6,68,FLL,JFK,7,360,160,0
MQ,4481,DCA,RDU,3,899,66,0
DL,1010,SAT,ATL,5,400,137,0
MQ,2812,DFW,LRD,3,995,85,1
XE,2388,COS,IAH,7,495,134,0
EV,5236,VPS,MEM,3,685,93,0
XE,3019,PHL,CLE,5,1095,100,0
EV,5144,ATL,GNV,6,776,70,0
US,81,PHX,BWI,1,590,257,0
EV,5213,CHA,ATL,2,1043,52,1
XE,2725,DFW,IAH,1,714,66,0
WN,754,SAN,LAS,3,1000,70,1
DL,1108,MSP,CLT,5,420,156,1
EV,5489,ATL,GNV,4,776,69,1
WN,476,LAS,BUR,1,610,65,1
US,1044,TPA,PHL,7,985,151,1
EV,5204,ATL,TLH,7,820,65,0
XE,2197,MSN,EWR,5,1098,132,0
DL,571,ATL,STT,6,600,226,0
AA,267,LAX,HNL,6,1145,365,1
AA,1402,DFW,CLT,7,1190,140,1
MQ,3673,MIA,CLT,6,1005,125,0
DL,2714,SEA,MSP,4,500,199,0
OO,6845,GRR,ORD,3,821,59,1
FL,683,ATL,ICT,1,625,148,0
WN,27,HOU,ECP,4,885,90,1
WN,1275,LAS,SAN,1,895,65,1
AA,795,MIA,STT,4,1065,150,1
FL,850,EYW,MCO,4,785,65,0
AA,1682,DFW,MEM,5,765,85,0
EV,5162,ATL,FAY,3,1145,81,0
WN,2086,FLL,BWI,5,1120,150,0
YV,2694,PHX,AUS,2,965,132,0
US,768,BOS,PHL,1,870,98,0
US,2145,BOS,LGA,4,450,74,0
WN,2431,BWI,IND,6,1110,110,1
US,273,PHX,IAH,6,810,154,0
EV,5195,ATL,LWB,6,645,86,1
OO,6241,CRW,ORD,3,360,97,0
DL,1306,TUS,ATL,3,862,203,0
WN,438,BWI,FLL,7,845,160,0
AA,2502,DFW,BNA,2,1025,100,0
DL,2490,PDX,MSP,5,410,195,0
YV,2748,TUS,PHX,3,540,60,0
EV,5499,BOS,DCA,4,1055,110,0
EV,5485,ATL,VPS,5,822,72,0
US,10,CLT,ORD,3,700,128,0
OO,4443,CVG,MKE,1,1235,85,1
YV,2601,CLE,CLT,3,390,102,0
WN,1629,PHX,HOU,6,945,145,1
9E,4308,DTW,RIC,4,865,106,1
WN,3763,DEN,BWI,2,725,200,0
OH,6662,DTW,FWA,1,730,54,1
WN,861,MDW,LAX,1,1040,275,1
9E,4193,CVG,TYS,5,980,60,0
UA,488,ORD,CLT,6,1150,113,0
MQ,4653,BNA,LGA,5,795,124,0
AA,632,DFW,BOS,2,1100,200,1
WN,3072,SJC,SAN,6,905,75,0
9E,3951,MEM,PNS,3,1185,84,1
OH,6309,ATL,MDT,7,1216,112,0
OO,4497,AUS,SLC,1,850,169,1
XE,2555,GPT,IAH,5,740,84,0
WN,847,DEN,BNA,7,1060,145,1
WN,1113,PHX,ONT,2,915,70,1
XE,2959,MOB,IAH,2,390,94,0
OO,6902,SFO,PSC,2,1255,109,1
OO,4883,SLC,BIL,6,1300,84,0
B6,406,SAN,BOS,4,845,309,1
EV,5140,JAN,DTW,4,937,138,1
B6,461,BOS,RSW,6,795,212,0
CO,693,MCO,EWR,6,579,154,1
WN,139,OAK,BUR,6,485,65,1
US,365,PHX,SMF,3,650,123,1
B6,748,SJU,MCO,1,1121,182,1
WN,539,MDW,CMH,7,1205,70,0
WN,684,PHX,SNA,4,1050,70,1
DL,1237,ATL,STL,7,1048,103,1
AA,442,SFO,MIA,3,765,320,1
EV,5536,SHV,MEM,7,1020,65,0
MQ,3193,LAX,SJC,3,400,75,0
DL,2164,ABQ,MSP,4,850,158,0
CO,1588,SAN,IAH,4,775,185,0
WN,3759,SFO,LAX,2,1250,75,1
DL,1238,AUS,ATL,7,785,132,0
US,942,SFO,CLT,3,1340,284,0
WN,307,LAX,PHX,3,1080,80,1
MQ,2726,DFW,BTR,7,720,80,0
OO,6467,DEN,MFR,7,1110,170,0
AS,678,SEA,DEN,3,1135,154,1
EV,5354,ATL,OAJ,2,575,85,0
DL,1607,MSP,ORD,5,860,90,0
DL,1020,ATL,MDW,2,1147,121,0
EV,5521,ATL,AEX,5,810,104,0
DL,1163,EWR,DTW,3,420,128,0
WN,541,OAK,BUR,2,745,65,1
AA,1124,MIA,LGA,1,585,165,0
WN,2552,RNO,LAS,3,380,80,1
US,2160,DCA,LGA,5,420,81,0
OO,6420,DEN,MAF,6,1165,96,1
DL,2832,SNA,SLC,4,991,108,1
AA,1700,MIA,SJU,5,875,145,1
MQ,4228,ORD,SGF,2,795,95,0
EV,5163,CLE,ATL,6,964,120,1
AS,153,ANC,OTZ,2,1035,93,1
DL,1170,GEG,MSP,4,800,170,1
OO,6495,COS,LAX,7,423,161,0
DL,2065,ATL,ECP,6,660,75,0
OO,4675,SLC,BUR,4,915,115,0
WN,2912,FLL,PHL,5,1135,165,1
OO,6815,SFO,CEC,4,712,93,1
OH,6642,ORF,JFK,4,627,93,0
9E,3687,IND,MEM,5,735,92,0
XE,3132,IAH,JAX,5,1005,118,0
EV,5517,CAE,ATL,5,995,74,0
CO,110,CLE,EWR,6,1050,97,0
US,307,CLT,LAS,4,1095,300,0
CO,440,SLC,IAH,7,450,184,0
OO,6568,SFO,ACV,7,421,79,0
MQ,4287,ORD,CMH,5,1095,75,0
CO,2,GUM,HNL,2,400,430,1
XE,2173,EWR,GSO,2,1200,110,0
US,1776,CLT,BOS,7,1192,123,0
DL,1193,CLT,DTW,2,1150,113,1
WN,2419,SLC,PHX,6,1115,100,1
EV,5513,MEM,RDU,3,510,114,1
DL,2490,MSP,ATL,6,785,153,0
DL,2846,MSP,PIT,2,1170,125,0
MQ,4139,ORD,RIC,3,650,115,0
MQ,3995,DAY,ORD,7,1020,80,0
XE,2156,TUS,IAH,1,670,139,1
MQ,3330,SGF,DFW,2,960,85,1
CO,1787,IAH,DFW,7,955,72,0
MQ,4414,RDU,JFK,7,370,95,0
EV,7099,CVG,IAD,2,587,98,0
AA,764,DFW,LGA,4,1125,194,1
DL,1559,MSP,LAX,2,685,245,1
UA,823,BOS,IAD,2,848,110,1
DL,1078,LGA,MSY,4,495,220,0
UA,212,DEN,IAH,3,1055,143,1
WN,1976,DTW,BWI,3,715,90,0
UA,72,HNL,SFO,7,471,316,0
WN,3339,SEA,SLC,2,885,115,0
MQ,3244,DFW,BTR,7,420,80,0
WN,1001,PDX,MCI,3,530,200,0
OH,6442,DTW,RIC,5,1305,101,0
WN,28,DAL,MCI,4,860,85,1
CO,12,HNL,LAX,2,1295,335,0
US,270,IAH,PHX,4,360,172,0
WN,1807,FLL,BWI,6,1015,155,1
WN,1557,CRP,HOU,1,570,50,1
DL,1644,ATL,CLT,3,1040,75,0
UA,44,LAX,IAD,6,1355,290,1
DL,1634,JFK,ATL,1,690,158,0
FL,521,BWI,TPA,1,570,144,0
